Labels,Pixels
0,255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 254 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 254 249 253 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 254 253 254 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 254 255 255 255 255 255 255 255 255 255 255 255 255 253 253 253 253 236 200 164 146 200 244 254 253 253 255 254 255 255 255 255 255 255 255 255 255 255 255 255 255 254 254 244 164 63 27 1 1 27 105 224 253 253 255 254 254 255 255 255 255 255 255 255 255 255 255 255 254 253 244 136 17 1 1 1 1 1 1 123 249 255 255 254 254 255 255 255 255 255 255 255 255 255 255 255 254 249 136 7 1 1 7 63 88 17 1 27 200 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 192 27 1 49 76 88 217 244 146 17 1 105 249 255 255 255 255 255 255 255 255 255 255 255 255 254 254 244 88 1 27 179 236 236 255 253 244 88 1 38 217 254 253 255 255 255 255 255 255 255 255 255 255 254 255 217 38 1 88 244 253 255 254 253 255 192 27 7 146 254 253 255 255 255 255 255 255 255 255 255 255 254 255 179 17 1 136 253 253 254 255 253 254 244 76 1 63 236 255 255 255 255 255 255 255 255 255 255 255 254 255 154 1 17 179 255 253 255 255 255 254 255 154 7 17 192 255 255 255 255 255 255 255 255 255 255 255 254 255 131 1 27 211 255 253 255 255 255 254 255 211 27 7 136 254 255 255 255 255 255 255 255 255 255 255 255 254 123 1 27 211 255 253 255 255 255 255 255 231 49 1 105 249 255 255 255 255 255 255 255 255 255 255 254 255 136 1 17 192 255 253 255 255 255 255 255 244 76 1 63 236 255 255 255 255 255 255 255 255 255 255 254 255 164 7 7 146 254 253 255 255 255 255 255 249 88 1 49 231 255 255 255 255 255 255 255 255 255 255 255 255 192 17 1 105 249 253 255 255 255 255 255 249 76 1 49 231 255 255 255 255 255 255 255 255 255 255 254 255 231 49 1 49 217 253 255 255 255 255 255 236 63 1 76 244 255 255 255 255 255 255 255 255 255 255 255 255 254 136 7 7 131 253 255 254 254 255 255 211 27 1 105 253 255 255 255 255 255 255 255 255 255 255 255 255 255 217 49 1 38 200 255 254 254 255 255 146 7 7 164 255 255 255 255 255 255 255 255 255 255 255 255 255 254 253 154 17 1 76 217 255 255 255 217 49 1 49 217 255 255 255 255 255 255 255 255 255 255 255 255 255 255 253 244 105 7 7 63 164 224 200 76 1 17 136 249 254 255 255 255 255 255 255 255 255 255 255 255 255 255 253 253 231 88 7 1 17 38 27 1 7 105 236 253 253 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 231 123 38 7 1 17 63 131 224 254 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 254 253 249 217 164 136 179 224 253 253 254 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 254 254 255 255 255 255 255 255 254 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255
,
1,255 254 255 255 255 255 255 255 255 255 254 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 252 237 237 244 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 252 254 249 194 111 59 59 82 111 175 226 249 254 254 255 255 255 255 255 255 255 255 255 255 255 255 255 255 252 226 119 26 2 2 2 2 2 13 42 139 249 252 254 255 255 255 255 255 255 255 255 255 255 255 254 255 232 82 2 13 59 82 35 6 2 2 2 50 232 254 254 255 255 255 255 255 255 255 255 255 255 255 252 244 119 6 26 139 226 232 59 2 2 2 2 42 208 254 255 255 255 255 255 255 255 255 255 255 255 254 255 175 21 21 145 249 254 244 119 82 101 50 6 6 67 201 254 254 255 255 255 255 255 255 255 255 255 255 232 67 2 101 244 255 255 252 244 244 249 226 129 26 6 67 194 252 254 255 255 255 255 255 255 255 255 255 155 6 42 208 255 255 255 252 252 254 254 254 249 155 26 6 82 215 255 255 255 255 255 255 255 254 254 244 67 2 119 249 254 255 255 255 255 255 254 254 255 252 139 13 21 139 249 254 254 255 255 255 255 254 255 201 26 21 186 255 254 255 255 255 255 255 255 255 254 254 237 82 6 67 215 255 254 255 255 255 255 254 255 160 6 59 232 255 254 255 255 255 255 255 255 255 255 254 254 194 26 21 139 244 254 255 255 255 255 254 255 127 2 82 244 255 255 255 255 255 255 255 255 255 255 255 252 249 111 6 59 215 255 255 255 255 255 255 252 111 2 93 249 255 255 255 255 255 255 255 255 255 255 254 252 255 194 21 26 175 255 255 255 255 255 255 252 93 2 101 252 255 255 255 255 255 255 255 255 255 255 255 255 255 232 50 13 155 255 255 255 255 255 255 249 82 2 93 249 255 255 255 255 255 255 255 255 255 255 255 255 255 249 82 6 129 255 255 255 255 255 254 249 101 2 59 237 254 254 255 255 255 255 255 255 255 255 255 255 255 252 93 6 129 255 255 255 255 255 254 254 129 2 21 194 255 254 255 255 255 255 255 255 255 255 255 255 255 249 93 6 139 255 255 255 255 255 254 255 186 13 2 101 244 254 255 255 255 255 255 255 255 254 255 255 255 244 82 6 160 255 255 255 255 255 255 255 237 67 2 13 155 254 255 255 255 255 255 255 255 255 255 255 255 232 50 21 194 255 255 255 255 255 255 254 255 186 21 2 35 194 255 255 255 255 255 255 255 255 255 254 255 201 21 50 226 255 255 255 255 255 255 255 255 249 129 13 2 50 194 254 254 252 255 255 255 255 254 252 252 127 6 101 249 254 255 255 255 255 255 255 255 254 244 111 6 6 42 160 237 254 255 255 255 255 255 255 201 35 21 186 255 254 255 255 255 255 255 255 255 254 255 237 111 13 2 13 67 119 175 215 232 237 226 175 59 6 111 244 255 255 255 255 255 255 255 255 255 255 255 252 237 145 42 6 2 2 6 35 50 59 42 13 6 93 226 254 255 255 255 255 255 255 255 255 255 255 255 254 255 254 226 160 93 50 26 13 13 13 26 67 145 232 254 254 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 249 232 208 186 186 194 215 237 254 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 254 254 255 255 255 255 255 255 254 254 255 255 255 255 255 255 255 255
,
0,255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 254 254 255 255 255 255 255 255 255 254 254 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 254 253 254 248 210 148 115 148 210 253 253 253 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 254 253 218 115 35 6 6 9 45 148 248 253 255 255 255 255 255 255 255 255 255 255 255 255 255 255 254 253 255 189 51 6 6 9 9 9 6 25 189 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 254 254 210 60 6 6 6 6 9 9 9 17 176 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 254 245 97 6 51 89 108 97 35 17 9 97 238 253 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 176 17 35 189 248 248 245 192 79 17 60 176 245 255 255 255 255 255 255 255 255 255 255 255 255 255 255 248 89 6 115 248 254 253 254 255 218 79 17 51 176 254 254 255 255 255 255 255 255 255 255 255 255 255 255 218 35 25 189 255 254 255 255 255 255 203 60 17 79 231 255 255 255 255 255 255 255 255 255 255 255 255 255 176 9 60 231 254 254 255 254 255 253 253 176 35 25 163 255 255 255 255 255 255 255 255 255 255 255 254 255 134 6 89 248 255 255 255 255 255 255 255 248 108 9 97 245 254 255 254 255 255 255 255 255 255 255 254 254 115 6 89 248 255 255 255 255 255 255 255 255 192 25 35 203 255 254 254 255 255 255 255 255 255 255 254 254 115 6 79 245 254 255 255 255 255 255 255 254 238 79 17 163 255 255 255 255 255 255 255 255 255 255 254 255 148 6 45 224 255 255 255 255 255 255 255 254 253 108 9 134 253 255 255 255 255 255 255 255 255 255 255 255 189 17 17 176 255 255 255 255 255 255 255 254 254 134 9 129 253 255 255 255 255 255 255 255 255 254 254 255 224 45 6 108 248 255 255 255 255 255 255 254 254 123 9 148 255 255 255 255 255 255 255 255 255 255 255 255 253 108 6 35 203 255 254 255 255 255 255 254 245 79 25 195 255 255 255 255 255 255 255 255 255 255 255 255 255 195 25 6 89 238 254 254 255 255 255 255 192 25 60 231 254 255 255 255 255 255 255 255 255 255 255 255 255 248 115 9 9 123 245 255 255 254 254 238 79 9 134 253 254 255 255 255 255 255 255 255 255 255 255 255 254 255 224 60 6 17 123 231 255 255 238 123 9 70 224 254 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 203 60 9 9 70 148 163 97 9 51 203 254 253 254 255 255 255 255 255 255 255 255 255 255 255 255 255 254 254 203 60 9 6 6 9 6 51 192 253 254 254 255 255 255 255 255 255 255 255 255 255 255 255 255 255 254 254 253 224 123 45 17 35 108 210 253 253 254 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 254 253 253 255 253 224 203 218 248 255 254 253 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255
,
2,255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 254 254 248 194 146 146 185 234 254 253 254 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 254 241 133 30 6 6 21 66 167 248 253 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 254 248 133 13 56 101 78 30 6 30 199 254 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 167 21 56 212 212 159 101 30 66 220 253 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 234 66 13 146 159 44 21 21 56 167 248 253 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 194 21 30 185 159 89 89 30 13 44 146 241 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 159 6 30 212 254 248 248 194 78 13 30 185 255 254 255 255 255 255 255 255 255 255 255 255 255 255 255 255 159 6 44 212 254 254 254 255 220 78 13 89 234 254 255 255 255 255 255 255 255 255 255 255 255 255 255 255 177 21 30 199 255 253 254 253 255 194 30 13 146 253 255 255 255 255 255 255 255 255 255 255 255 255 255 255 199 21 13 177 255 254 255 254 254 248 101 6 56 226 255 254 255 255 255 255 255 255 255 255 255 255 255 255 226 44 6 133 254 254 255 254 253 255 177 21 21 177 255 254 255 255 255 255 255 255 255 255 255 255 255 254 241 66 6 78 241 254 255 255 254 255 226 44 13 159 255 255 255 255 255 255 255 255 255 255 255 255 255 254 253 113 6 30 199 255 255 255 255 255 241 66 13 127 255 255 255 255 255 255 255 255 255 255 255 255 255 254 255 185 21 6 120 253 255 255 255 255 248 78 13 113 254 255 255 255 255 255 255 255 255 255 255 255 255 254 255 241 78 6 44 212 255 255 255 255 248 89 13 113 254 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 177 21 13 113 248 254 254 253 248 78 13 120 254 255 255 255 255 255 255 255 255 255 255 255 255 254 255 254 234 78 6 21 167 255 255 253 241 66 13 133 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 254 255 185 21 6 44 199 255 255 220 44 21 177 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 248 113 6 6 56 167 194 101 13 66 226 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 254 226 89 6 6 13 13 13 66 194 253 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 253 253 226 127 66 56 78 146 226 255 254 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 254 253 255 253 241 234 248 255 255 254 254 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 254 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 254 255 255 255 255 255
,
0,255 255 255 255 254 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 254 254 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 254 254 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 254 254 255 255 255 255 255 255 254 254 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 254 254 255 255 255 255 255 255 255 254 252 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 254 254 254 239 174 111 111 221 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 254 249 190 74 16 5 5 132 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 254 249 155 29 5 5 12 12 83 215 254 255 255 254 255 255 255 255 255 255 255 255 255 255 255 255 255 254 254 163 23 5 29 49 23 12 16 56 200 255 254 254 255 255 255 255 255 255 255 255 255 255 255 255 255 255 225 56 5 88 190 231 174 74 16 16 83 231 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 255 147 5 49 221 255 255 255 231 111 23 23 132 245 254 255 255 255 255 255 255 255 255 255 255 255 255 255 239 74 5 121 252 254 255 254 252 239 100 16 39 174 255 255 255 255 255 255 255 255 255 255 255 255 254 255 200 29 23 190 255 254 255 254 254 255 221 56 16 74 221 255 255 255 255 255 255 255 255 255 255 255 254 255 155 5 49 225 254 255 255 255 255 255 255 155 16 23 155 255 255 255 255 255 255 255 255 255 255 255 254 252 111 5 88 245 254 255 255 255 255 255 255 221 49 16 121 255 255 255 255 255 255 255 255 255 255 255 254 249 88 5 111 254 255 255 255 255 255 255 254 245 88 16 132 255 255 255 255 255 255 255 255 255 255 255 255 245 74 5 111 254 255 255 255 255 255 254 254 249 88 16 163 255 255 255 255 255 255 255 255 255 255 255 254 245 74 5 100 249 254 254 255 255 255 255 254 245 83 16 163 255 255 255 255 255 255 255 255 255 255 255 254 249 88 5 74 239 254 255 255 255 255 255 255 225 56 29 200 255 255 255 255 255 255 255 255 255 255 255 254 254 111 5 39 215 255 255 255 255 255 255 255 190 29 49 221 255 255 255 255 255 255 255 255 255 255 255 254 255 163 12 16 163 255 254 255 255 255 255 254 132 12 74 239 255 255 255 255 255 255 255 255 255 255 255 252 255 215 39 5 74 231 255 255 254 255 255 231 56 16 128 252 255 255 255 255 255 255 255 255 255 255 255 254 255 249 100 5 16 128 245 255 254 254 255 174 16 39 200 255 255 255 255 255 255 255 255 255 255 255 255 254 255 255 200 29 5 23 111 200 245 255 239 83 5 100 245 254 255 255 255 255 255 255 255 255 255 255 255 254 254 254 249 155 29 5 12 29 88 155 111 16 29 190 255 254 255 255 255 255 255 255 255 255 255 255 255 254 254 254 252 249 163 39 12 5 5 12 5 12 121 249 255 254 255 255 255 255 255 255 255 255 255 255 255 254 254 254 252 254 254 215 147 88 56 49 83 155 239 254 255 254 255 255 255 255 255 255 255 255 255 255 255 254 254 254 254 255 255 255 255 245 231 225 245 255 255 254 255 255 255 255 255 255 255 255 255
,
